Biker_Age,Biker_Occupation,Biker_Education_Level,Riding_Experience,Daily_Travel_Distance,Talk_While_Riding,Smoke_While_Riding,Wearing_Helmet,Motorcycle_Ownership,Valid_Driving_License,Bike_Condition,Road_Type,Road_condition,Weather,Time_of_Day,Traffic_Density,Speed_Limit,Bike_Speed,Number_of_Vehicles,Biker_Alcohol,Accident_Severity
27.0,Service,Above high school,15.0,31.0,Sometimes,Never,Yes,Bought with own money,Yes,Old,Highway,Wet,Rainy,Afternoon,4.0,50.0,45.0,3.0,0.0,Moderate Accident
46.0,Service,Above high school,12.0,35.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Highway,Dry,Clear,Evening,7.0,50.0,35.0,3.0,0.0,Moderate Accident
47.0,Service,Above high school,0.0,87.0,Sometimes,Never,No,Bought with own money,No,New,Highway,Dry,Foggy,Morning,5.0,50.0,41.0,2.0,0.0,Moderate Accident
58.0,Service,Above high school,15.0,38.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Highway,Wet,Rainy,Afternoon,2.0,50.0,38.0,2.0,0.0,Moderate Accident
56.0,Service,Above high school,12.0,70.0,Sometimes,Never,Yes,Inherited,Yes,New,Highway,Dry,Clear,Night,2.0,40.0,27.0,3.0,0.0,Moderate Accident
29.0,Service,Above high school,4.0,81.0,Never,Sometimes,No,Bought with own money,Yes,Old,Highway,Dry,Foggy,Afternoon,5.0,50.0,50.0,1.0,0.0,Moderate Accident
45.0,Service,Above high school,2.0,72.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Highway,Wet,Rainy,Noon,3.0,60.0,54.0,2.0,0.0,Moderate Accident
56.0,Service,Above high school,5.0,44.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,Old,Highway,Dry,Clear,Afternoon,1.0,50.0,40.0,1.0,0.0,Moderate Accident
52.0,Service,Above high school,11.0,69.0,Sometimes,Never,No,Bought with own money,Yes,New,Highway,Dry,Foggy,Morning,4.0,60.0,47.0,2.0,0.0,Moderate Accident
36.0,Service,Above high school,10.0,34.0,Sometimes,Sometimes,Yes,Inherited,Yes,New,Highway,Wet,Rainy,Afternoon,1.0,50.0,37.0,1.0,0.0,Moderate Accident
57.0,Service,Above high school,4.0,59.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Highway,Dry,Clear,Night,4.0,40.0,35.0,1.0,0.0,Moderate Accident
34.0,Service,Above high school,5.0,97.0,Sometimes,Sometimes,No,Bought with own money,No,New,Highway,Dry,Foggy,Afternoon,7.0,50.0,45.0,3.0,0.0,Moderate Accident
50.0,Service,Above high school,8.0,90.0,Sometimes,Never,Yes,Bought with own money,No,Old,Highway,Wet,Rainy,Noon,6.0,50.0,36.0,2.0,0.0,Moderate Accident
50.0,Service,Above high school,13.0,85.0,Sometimes,Sometimes,Yes,Bought with own money,No,New,Highway,Dry,Clear,Afternoon,3.0,50.0,41.0,3.0,0.0,Moderate Accident
61.0,Service,Above high school,6.0,68.0,Sometimes,Never,No,Inherited,No,Old,Highway,Dry,Foggy,Evening,7.0,50.0,36.0,2.0,0.0,Moderate Accident
56.0,Service,Above high school,9.0,95.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Highway,Wet,Rainy,Morning,3.0,50.0,36.0,2.0,0.0,Moderate Accident
65.0,Service,Above high school,2.0,73.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Highway,Dry,Clear,Afternoon,4.0,50.0,40.0,3.0,0.0,Moderate Accident
53.0,Service,Above high school,13.0,93.0,Sometimes,Sometimes,No,Bought with own money,No,New,Highway,Dry,Foggy,Night,8.0,50.0,44.0,2.0,0.0,Moderate Accident
38.0,Service,Above high school,13.0,82.0,Sometimes,Never,Yes,Bought with own money,No,New,Highway,Wet,Rainy,Afternoon,4.0,50.0,43.0,1.0,0.0,Moderate Accident
48.0,Service,Above high school,11.0,45.0,Sometimes,Sometimes,Yes,Inherited,Yes,Old,Highway,Dry,Clear,Noon,2.0,60.0,51.0,2.0,0.0,Moderate Accident
51.0,Service,Above high school,14.0,90.0,Sometimes,Never,No,Bought with own money,No,New,Highway,Dry,Foggy,Afternoon,5.0,50.0,35.0,2.0,0.0,Moderate Accident
46.0,Service,Above high school,7.0,62.0,Sometimes,Sometimes,Yes,Bought with own money,No,Old,Highway,Wet,Rainy,Morning,4.0,50.0,42.0,1.0,0.0,Moderate Accident
44.0,Service,Above high school,13.0,67.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Highway,Dry,Clear,Afternoon,6.0,50.0,45.0,1.0,0.0,Moderate Accident
57.0,Service,Above high school,13.0,69.0,Sometimes,Sometimes,No,Bought with own money,Yes,New,Highway,Dry,Foggy,Night,1.0,50.0,36.0,3.0,0.0,Moderate Accident
51.0,Service,Above high school,5.0,76.0,Sometimes,Never,Yes,Inherited,No,New,Highway,Wet,Rainy,Afternoon,6.0,50.0,41.0,3.0,0.0,Moderate Accident
45.0,Service,Above high school,3.0,38.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Highway,Dry,Clear,Noon,1.0,50.0,42.0,2.0,0.0,Moderate Accident
47.0,Service,Above high school,14.0,82.0,Sometimes,Never,No,Bought with own money,Yes,Old,Highway,Dry,Foggy,Afternoon,8.0,60.0,52.0,3.0,0.0,Moderate Accident
56.0,Service,Above high school,7.0,81.0,Never,Sometimes,Yes,Bought with own money,Yes,New,Highway,Wet,Rainy,Evening,1.0,50.0,50.0,2.0,0.0,Moderate Accident
53.0,Service,Above high school,5.0,96.0,Sometimes,Never,Yes,Bought with own money,No,Old,Highway,Dry,Clear,Morning,2.0,50.0,36.0,2.0,0.0,Moderate Accident
42.0,Service,Above high school,3.0,92.0,Sometimes,Sometimes,No,Inherited,Yes,New,Highway,Dry,Foggy,Afternoon,8.0,50.0,36.0,3.0,0.0,Moderate Accident
40.0,Service,Above high school,6.0,57.0,Sometimes,Never,Yes,Bought with own money,No,New,Highway,Wet,Rainy,Night,1.0,50.0,38.0,2.0,0.0,Moderate Accident
37.0,Service,Above high school,4.0,95.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Highway,Dry,Clear,Afternoon,8.0,40.0,27.0,2.0,0.0,Moderate Accident
26.0,Service,Above high school,2.0,45.0,Sometimes,Never,No,Bought with own money,Yes,New,Highway,Dry,Foggy,Noon,7.0,50.0,37.0,3.0,0.0,Moderate Accident
42.0,Service,Above high school,5.0,59.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,Old,Highway,Wet,Rainy,Afternoon,6.0,50.0,37.0,1.0,0.0,Moderate Accident
53.0,Service,Above high school,14.0,36.0,Sometimes,Never,Yes,Inherited,No,New,Highway,Dry,Clear,Morning,2.0,50.0,35.0,1.0,0.0,Moderate Accident
42.0,Service,Above high school,10.0,83.0,Sometimes,Sometimes,No,Bought with own money,Yes,Old,Highway,Dry,Foggy,Afternoon,7.0,50.0,35.0,1.0,0.0,Moderate Accident
61.0,Service,Above high school,2.0,80.0,Never,Never,Yes,Bought with own money,Yes,New,Highway,Wet,Rainy,Night,1.0,50.0,50.0,1.0,0.0,Moderate Accident
47.0,Service,Above high school,4.0,85.0,Sometimes,Sometimes,Yes,Bought with own money,No,New,Highway,Dry,Clear,Afternoon,4.0,50.0,42.0,2.0,0.0,Moderate Accident
46.0,Service,Above high school,11.0,52.0,Sometimes,Never,No,Bought with own money,Yes,New,Highway,Dry,Foggy,Noon,7.0,50.0,44.0,3.0,0.0,Moderate Accident
46.0,Service,Above high school,1.0,53.0,Sometimes,Sometimes,Yes,Inherited,No,New,Highway,Wet,Rainy,Afternoon,8.0,50.0,45.0,1.0,0.0,Moderate Accident
54.0,Service,Above high school,12.0,98.0,Sometimes,Never,Yes,Bought with own money,Yes,Old,Highway,Dry,Clear,Evening,2.0,50.0,38.0,2.0,1.0,Moderate Accident
41.0,Service,Above high school,11.0,77.0,Sometimes,Sometimes,No,Bought with own money,Yes,New,Highway,Dry,Foggy,Morning,3.0,40.0,34.0,1.0,0.0,Moderate Accident
50.0,Service,Above high school,3.0,91.0,Sometimes,Never,Yes,Bought with own money,Yes,Old,Highway,Wet,Rainy,Afternoon,3.0,50.0,35.0,2.0,0.0,Moderate Accident
42.0,Service,Above high school,13.0,53.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Highway,Dry,Clear,Night,2.0,40.0,27.0,1.0,0.0,Moderate Accident
34.0,Service,Above high school,4.0,62.0,Sometimes,Never,No,Inherited,No,New,Highway,Dry,Foggy,Afternoon,5.0,50.0,38.0,2.0,0.0,Moderate Accident
35.0,Service,Above high school,2.0,61.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Highway,Wet,Rainy,Noon,6.0,50.0,35.0,2.0,0.0,Moderate Accident
51.0,Service,Above high school,14.0,39.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Highway,Dry,Clear,Afternoon,4.0,50.0,38.0,3.0,0.0,Moderate Accident
52.0,Service,Above high school,0.0,46.0,Sometimes,Sometimes,No,Bought with own money,Yes,Old,Highway,Dry,Foggy,Morning,1.0,40.0,27.0,2.0,0.0,Moderate Accident
32.0,Service,Above high school,8.0,93.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Highway,Wet,Rainy,Afternoon,4.0,50.0,41.0,3.0,0.0,Moderate Accident
29.0,Service,Above high school,5.0,71.0,Sometimes,Sometimes,Yes,Inherited,Yes,Old,Highway,Dry,Clear,Night,3.0,50.0,41.0,3.0,0.0,Moderate Accident
55.0,Service,Above high school,7.0,41.0,Sometimes,Never,No,Bought with own money,Yes,New,Highway,Dry,Foggy,Afternoon,5.0,50.0,43.0,3.0,0.0,Moderate Accident
58.0,Service,Above high school,8.0,66.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Highway,Wet,Rainy,Noon,1.0,60.0,52.0,1.0,0.0,Moderate Accident
45.0,Service,Above high school,12.0,91.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Highway,Dry,Clear,Afternoon,5.0,50.0,42.0,1.0,0.0,Moderate Accident
30.0,Service,Above high school,6.0,85.0,Sometimes,Sometimes,No,Bought with own money,Yes,New,Highway,Dry,Foggy,Evening,6.0,50.0,38.0,3.0,0.0,Moderate Accident
63.0,Service,Above high school,8.0,33.0,Sometimes,Never,Yes,Inherited,Yes,Old,Highway,Wet,Rainy,Morning,5.0,40.0,32.0,1.0,0.0,Moderate Accident
38.0,Service,Above high school,4.0,61.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Highway,Dry,Clear,Afternoon,8.0,50.0,45.0,1.0,0.0,Moderate Accident
42.0,Service,Above high school,14.0,35.0,Sometimes,Never,No,Bought with own money,Yes,Old,Highway,Dry,Foggy,Night,5.0,50.0,44.0,2.0,0.0,Moderate Accident
27.0,Service,Above high school,5.0,60.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Highway,Wet,Rainy,Afternoon,6.0,60.0,55.0,2.0,0.0,Moderate Accident
57.0,Service,Above high school,5.0,69.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Highway,Dry,Clear,Noon,4.0,50.0,39.0,2.0,0.0,Moderate Accident
44.0,Service,Above high school,12.0,61.0,Sometimes,Sometimes,No,Inherited,Yes,New,Highway,Dry,Foggy,Afternoon,8.0,40.0,31.0,3.0,0.0,Moderate Accident
59.0,Service,Above high school,6.0,64.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Highway,Wet,Rainy,Morning,8.0,40.0,35.0,3.0,0.0,Moderate Accident
47.0,Service,Above high school,8.0,88.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,Old,Highway,Dry,Clear,Afternoon,1.0,50.0,45.0,1.0,0.0,Moderate Accident
42.0,Service,Above high school,11.0,36.0,Sometimes,Never,No,Bought with own money,Yes,New,Highway,Dry,Foggy,Night,2.0,40.0,33.0,2.0,0.0,Moderate Accident
54.0,Service,Above high school,0.0,45.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,Old,Highway,Wet,Rainy,Afternoon,6.0,50.0,35.0,3.0,0.0,Moderate Accident
58.0,Service,Above high school,0.0,95.0,Sometimes,Never,Yes,Inherited,Yes,New,Village Road,Dry,Clear,Noon,6.0,50.0,76.0,3.0,0.0,Moderate Accident
25.0,Service,Above high school,14.0,55.0,Sometimes,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,5.0,50.0,64.0,2.0,0.0,Moderate Accident
46.0,Service,Above high school,5.0,48.0,Sometimes,Never,Yes,Bought with own money,No,New,Village Road,Wet,Rainy,Evening,5.0,50.0,69.0,3.0,0.0,Moderate Accident
60.0,Service,Above high school,15.0,55.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Morning,2.0,50.0,60.0,2.0,0.0,Moderate Accident
25.0,Service,Above high school,5.0,53.0,Sometimes,Never,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Afternoon,1.0,50.0,85.0,3.0,0.0,Moderate Accident
62.0,Service,Above high school,12.0,35.0,Sometimes,Sometimes,Yes,Inherited,No,New,Village Road,Wet,Rainy,Night,7.0,50.0,83.0,1.0,0.0,Moderate Accident
62.0,Service,Above high school,4.0,37.0,Sometimes,Never,Yes,Bought with own money,Yes,Old,Village Road,Dry,Clear,Afternoon,1.0,50.0,78.0,2.0,0.0,Moderate Accident
30.0,Service,Above high school,6.0,76.0,Sometimes,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Foggy,Noon,5.0,50.0,65.0,2.0,0.0,Moderate Accident
59.0,Service,Above high school,9.0,37.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Village Road,Wet,Rainy,Afternoon,2.0,50.0,110.0,1.0,0.0,Moderate Accident
55.0,Service,Above high school,11.0,76.0,Never,Sometimes,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Morning,1.0,50.0,72.0,3.0,0.0,Moderate Accident
28.0,Service,Above high school,3.0,34.0,Sometimes,Never,No,Inherited,Yes,New,Village Road,Dry,Foggy,Afternoon,7.0,50.0,62.0,2.0,0.0,Moderate Accident
61.0,Service,Above high school,5.0,48.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Night,1.0,50.0,84.0,2.0,0.0,Moderate Accident
36.0,Service,Above high school,10.0,56.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,5.0,50.0,99.0,3.0,0.0,Moderate Accident
53.0,Service,Above high school,11.0,31.0,Never,Sometimes,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Noon,8.0,50.0,75.0,2.0,0.0,Moderate Accident
28.0,Service,Above high school,11.0,42.0,Sometimes,Never,Yes,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,3.0,50.0,61.0,1.0,0.0,Moderate Accident
40.0,Service,Above high school,0.0,77.0,Sometimes,Sometimes,Yes,Inherited,No,New,Village Road,Dry,Clear,Evening,8.0,50.0,102.0,3.0,0.0,Moderate Accident
62.0,Service,Above high school,12.0,42.0,Sometimes,Never,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Morning,8.0,50.0,60.0,2.0,0.0,Moderate Accident
62.0,Service,Above high school,6.0,60.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Village Road,Wet,Rainy,Afternoon,4.0,50.0,66.0,2.0,0.0,Moderate Accident
58.0,Service,Above high school,1.0,66.0,Sometimes,Never,Yes,Bought with own money,Yes,Old,Village Road,Dry,Clear,Night,3.0,50.0,82.0,3.0,0.0,Moderate Accident
36.0,Service,Above high school,8.0,95.0,Sometimes,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Foggy,Afternoon,8.0,50.0,97.0,2.0,0.0,Moderate Accident
61.0,Service,Above high school,14.0,96.0,Never,Never,Yes,Inherited,Yes,Old,Village Road,Wet,Rainy,Noon,4.0,50.0,79.0,3.0,0.0,Moderate Accident
49.0,Service,Above high school,9.0,41.0,Sometimes,Sometimes,Yes,Bought with own money,No,New,Village Road,Dry,Clear,Afternoon,4.0,50.0,72.0,3.0,0.0,Moderate Accident
45.0,Service,Above high school,10.0,62.0,Sometimes,Never,No,Bought with own money,No,New,Village Road,Dry,Foggy,Morning,6.0,50.0,95.0,1.0,0.0,Moderate Accident
53.0,Service,Above high school,0.0,43.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Village Road,Wet,Rainy,Afternoon,6.0,50.0,106.0,2.0,0.0,Moderate Accident
32.0,Service,Above high school,14.0,99.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Night,1.0,50.0,52.0,1.0,0.0,Moderate Accident
27.0,Service,Above high school,1.0,43.0,Sometimes,Sometimes,No,Inherited,Yes,Old,Village Road,Dry,Foggy,Afternoon,8.0,50.0,63.0,1.0,0.0,Moderate Accident
58.0,Service,Above high school,14.0,45.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Village Road,Wet,Rainy,Noon,8.0,50.0,101.0,1.0,0.0,Moderate Accident
34.0,Service,Above high school,9.0,37.0,Sometimes,Sometimes,Yes,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,4.0,50.0,85.0,3.0,0.0,Moderate Accident
39.0,Service,Above high school,3.0,48.0,Sometimes,Never,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Evening,8.0,50.0,54.0,2.0,0.0,Moderate Accident
54.0,Service,Above high school,14.0,87.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Village Road,Wet,Rainy,Morning,3.0,60.0,82.0,3.0,0.0,Moderate Accident
51.0,Service,Above high school,8.0,48.0,Sometimes,Never,Yes,Inherited,No,New,Village Road,Dry,Clear,Afternoon,2.0,60.0,79.0,1.0,0.0,Moderate Accident
65.0,Service,Above high school,8.0,60.0,Sometimes,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Night,7.0,60.0,63.0,1.0,0.0,Moderate Accident
41.0,Service,Above high school,5.0,85.0,Never,Never,Yes,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Afternoon,2.0,60.0,88.0,3.0,0.0,Moderate Accident
64.0,Service,Above high school,13.0,79.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Noon,5.0,60.0,88.0,1.0,0.0,Moderate Accident
46.0,Service,Above high school,8.0,44.0,Sometimes,Never,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Afternoon,8.0,60.0,103.0,1.0,0.0,Moderate Accident
36.0,Service,Above high school,8.0,84.0,Sometimes,Sometimes,Yes,Inherited,Yes,New,Village Road,Wet,Rainy,Morning,1.0,60.0,88.0,2.0,0.0,Moderate Accident
63.0,Service,Above high school,5.0,44.0,Never,Never,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,7.0,60.0,67.0,3.0,0.0,Moderate Accident
31.0,Service,Above high school,11.0,46.0,Sometimes,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Foggy,Night,5.0,60.0,110.0,1.0,0.0,Moderate Accident
36.0,Service,Above high school,9.0,49.0,Sometimes,Never,Yes,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,6.0,60.0,74.0,1.0,0.0,Moderate Accident
46.0,Service,Above high school,9.0,50.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,Old,Village Road,Dry,Clear,Noon,8.0,60.0,63.0,1.0,0.0,Moderate Accident
36.0,Service,Above high school,4.0,92.0,Sometimes,Never,No,Inherited,Yes,New,Village Road,Dry,Foggy,Afternoon,3.0,60.0,66.0,2.0,0.0,Moderate Accident
56.0,Service,Above high school,1.0,36.0,Never,Sometimes,Yes,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Evening,4.0,60.0,80.0,2.0,0.0,Moderate Accident
48.0,Service,Above high school,13.0,72.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Morning,1.0,60.0,82.0,1.0,0.0,Moderate Accident
25.0,Service,Above high school,9.0,49.0,Sometimes,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Foggy,Afternoon,8.0,60.0,72.0,3.0,0.0,Moderate Accident
37.0,Service,Above high school,1.0,47.0,Sometimes,Never,Yes,Bought with own money,No,New,Village Road,Wet,Rainy,Night,4.0,60.0,73.0,1.0,0.0,Moderate Accident
57.0,Service,Above high school,14.0,66.0,Sometimes,Sometimes,Yes,Inherited,Yes,New,Village Road,Dry,Clear,Afternoon,3.0,60.0,108.0,1.0,0.0,Moderate Accident
41.0,Service,Above high school,11.0,42.0,Sometimes,Never,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Noon,5.0,60.0,92.0,3.0,0.0,Moderate Accident
41.0,Service,Above high school,5.0,64.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Village Road,Wet,Rainy,Afternoon,6.0,60.0,87.0,1.0,0.0,Moderate Accident
53.0,Service,Above high school,7.0,53.0,Sometimes,Never,Yes,Bought with own money,Yes,Old,Village Road,Dry,Clear,Morning,8.0,60.0,61.0,1.0,0.0,Moderate Accident
45.0,Service,Above high school,2.0,94.0,Sometimes,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,7.0,60.0,102.0,1.0,0.0,Moderate Accident
47.0,Service,Above high school,2.0,39.0,Sometimes,Never,Yes,Inherited,Yes,New,Village Road,Wet,Rainy,Night,7.0,40.0,69.0,2.0,0.0,Moderate Accident
60.0,Service,Above high school,5.0,55.0,Sometimes,Sometimes,Yes,Bought with own money,No,New,Village Road,Dry,Clear,Afternoon,6.0,40.0,52.0,3.0,0.0,Moderate Accident
49.0,Service,Above high school,9.0,59.0,Sometimes,Never,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Noon,2.0,40.0,62.0,1.0,0.0,Moderate Accident
33.0,Service,Above high school,5.0,49.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Afternoon,3.0,40.0,54.0,2.0,0.0,Moderate Accident
29.0,Service,Above high school,9.0,31.0,Sometimes,Never,Yes,Bought with own money,No,New,Village Road,Dry,Clear,Evening,3.0,40.0,70.0,1.0,0.0,Moderate Accident
26.0,Service,Above high school,8.0,38.0,Sometimes,Sometimes,No,Inherited,Yes,Old,Village Road,Dry,Foggy,Morning,5.0,40.0,100.0,2.0,0.0,Moderate Accident
34.0,Service,Above high school,4.0,46.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Village Road,Wet,Rainy,Afternoon,7.0,40.0,97.0,3.0,0.0,Moderate Accident
27.0,Service,Above high school,9.0,55.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Night,6.0,40.0,62.0,1.0,0.0,Moderate Accident
38.0,Service,Above high school,8.0,81.0,Sometimes,Never,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,3.0,40.0,67.0,2.0,0.0,Moderate Accident
63.0,Service,Above high school,4.0,47.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Village Road,Wet,Rainy,Noon,8.0,40.0,109.0,3.0,0.0,Moderate Accident
31.0,Service,Above high school,0.0,99.0,Sometimes,Never,Yes,Inherited,No,Old,Village Road,Dry,Clear,Afternoon,8.0,40.0,86.0,2.0,0.0,Moderate Accident
41.0,Service,Above high school,12.0,60.0,Sometimes,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Morning,3.0,40.0,102.0,3.0,0.0,Moderate Accident
33.0,Service,Above high school,7.0,33.0,Never,Never,Yes,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Afternoon,1.0,40.0,104.0,2.0,0.0,Moderate Accident
26.0,Service,Above high school,4.0,37.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Night,3.0,40.0,102.0,3.0,0.0,Moderate Accident
63.0,Service,Above high school,1.0,86.0,Sometimes,Never,No,Bought with own money,No,New,Village Road,Dry,Foggy,Afternoon,1.0,40.0,62.0,1.0,0.0,Moderate Accident
57.0,Service,Above high school,11.0,74.0,Sometimes,Sometimes,Yes,Inherited,Yes,New,Village Road,Wet,Rainy,Noon,5.0,40.0,68.0,3.0,0.0,Moderate Accident
65.0,Service,Above high school,13.0,50.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,1.0,40.0,52.0,3.0,0.0,Moderate Accident
47.0,Service,Above high school,15.0,99.0,Sometimes,Sometimes,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Evening,2.0,40.0,65.0,2.0,0.0,Moderate Accident
60.0,Service,Above high school,4.0,60.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Village Road,Wet,Rainy,Morning,8.0,40.0,54.0,2.0,0.0,Moderate Accident
53.0,Service,Above high school,11.0,88.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,Old,Village Road,Dry,Clear,Afternoon,4.0,40.0,77.0,3.0,0.0,Moderate Accident
37.0,Service,Above high school,8.0,45.0,Sometimes,Never,No,Inherited,No,New,Village Road,Dry,Foggy,Night,3.0,40.0,75.0,3.0,0.0,Moderate Accident
29.0,Service,Above high school,1.0,45.0,Never,Sometimes,Yes,Bought with own money,Yes,New,Village Road,Wet,Rainy,Afternoon,4.0,40.0,82.0,1.0,0.0,Moderate Accident
48.0,Service,Above high school,1.0,86.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Noon,1.0,40.0,63.0,3.0,0.0,Moderate Accident
38.0,Service,Above high school,5.0,94.0,Sometimes,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,4.0,40.0,96.0,2.0,1.0,Moderate Accident
39.0,Service,Above high school,14.0,74.0,Sometimes,Never,Yes,Bought with own money,No,Old,Village Road,Wet,Rainy,Morning,1.0,40.0,61.0,1.0,0.0,Moderate Accident
48.0,Service,Above high school,14.0,70.0,Sometimes,Sometimes,Yes,Inherited,No,New,Village Road,Dry,Clear,Afternoon,7.0,40.0,96.0,2.0,0.0,Moderate Accident
57.0,Service,Above high school,6.0,89.0,Sometimes,Never,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Night,4.0,40.0,78.0,2.0,0.0,Moderate Accident
43.0,Service,Above high school,9.0,48.0,Sometimes,Sometimes,Yes,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,1.0,40.0,107.0,1.0,0.0,Moderate Accident
52.0,Service,Above high school,12.0,83.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Noon,5.0,40.0,93.0,3.0,0.0,Moderate Accident
39.0,Service,Above high school,15.0,74.0,Sometimes,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,7.0,40.0,107.0,1.0,0.0,Moderate Accident
30.0,Service,Above high school,3.0,71.0,Sometimes,Never,Yes,Inherited,No,New,Village Road,Wet,Rainy,Evening,5.0,40.0,55.0,2.0,0.0,Moderate Accident
37.0,Service,Above high school,8.0,86.0,Never,Sometimes,Yes,Bought with own money,Yes,Old,Village Road,Dry,Clear,Morning,4.0,40.0,50.0,1.0,0.0,Moderate Accident
57.0,Service,Above high school,4.0,77.0,Sometimes,Never,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,7.0,40.0,73.0,1.0,0.0,Moderate Accident
55.0,Service,Above high school,10.0,61.0,Sometimes,Sometimes,Yes,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Night,3.0,40.0,93.0,3.0,0.0,Moderate Accident
56.0,Service,Above high school,5.0,84.0,Sometimes,Never,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,5.0,40.0,54.0,3.0,0.0,Moderate Accident
31.0,Service,Above high school,2.0,30.0,Sometimes,Sometimes,No,Inherited,Yes,New,Village Road,Dry,Foggy,Noon,6.0,40.0,73.0,3.0,0.0,Moderate Accident
